cep,rua,numero,complemento,bairro,cidade,estado
01000-000,Rua A,123,Apto 1,Centro,São Paulo,SP
02000-000,Rua B,456,Sala 2,Jardim Paulista,São Paulo,SP
03000-000,Rua C,789,Loja 3,Liberdade,São Paulo,SP
04000-000,Rua D,101,Conjunto 4,Pinheiros,São Paulo,SP
05000-000,Rua E,202,Bloco 5,Moema,São Paulo,SP
06000-000,Rua F,303,Prédio 6,Butantã,São Paulo,SP
07000-000,Rua G,404,Apto 7,Campo Belo,São Paulo,SP
08000-000,Rua H,505,Galpão 8,Jardim América,São Paulo,SP
09000-000,Rua I,606,Quarto 9,Consolação,São Paulo,SP
10000-000,Rua J,707,Sala 10,Vila Mariana,São Paulo,SP
11000-000,Rua K,808,Loja 11,Alto da Boa Vista,São Paulo,SP
12000-000,Rua L,909,Conjunto 12,Bela Vista,São Paulo,SP
13000-000,Rua M,1010,Bloco 13,Liberdade,São Paulo,SP
14000-000,Rua N,1111,Prédio 14,Paulista,São Paulo,SP
15000-000,Rua O,1212,Apto 15,Centro,São Paulo,SP
16000-000,Rua P,1313,Sala 16,Vila Olímpia,São Paulo,SP
17000-000,Rua Q,1414,Loja 17,Barra Funda,São Paulo,SP
18000-000,Rua R,1515,Conjunto 18,Perdizes,São Paulo,SP
19000-000,Rua S,1616,Bloco 19,Pacaembu,São Paulo,SP
20000-000,Rua T,1717,Prédio 20,Centro,São Paulo,SP
